links,date,id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,kilometers.estimated_diameter_min,kilometers.estimated_diameter_max,meters.estimated_diameter_min,meters.estimated_diameter_max,miles.estimated_diameter_min,miles.estimated_diameter_max,feet.estimated_diameter_min,feet.estimated_diameter_max,is_potentially_hazardous_asteroid,close_approach_date,close_approach_date_full,epoch_date_close_approach,orbiting_body,relative_velocity_km/s,relative_velocity_km/h,relative_velocity_m/h,miss_dist_astromnomical,miss_dist_lunar,miss_dist_km,miss_dist_miles,is_sentry_object,sentry_data
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/3384400?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,3384400,3384400,(2007 RO17),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3384400,25.8,0.0183888672,0.0411187571,18.388867207,41.1187571041,0.0114263088,0.0255500032,60.3309310875,134.9040630575,False,2023-08-19,2023-Aug-19 03:06,1692414360000,Earth,14.1390891636,50900.7209890025,31627.7285500832,0.287069504,111.670037056,42944986.34035648,26684777.122340224,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/3576728?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,3576728,3576728,(2011 QJ21),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3576728,24.46,0.0340843469,0.0762149166,34.084346887,76.214916608,0.0211790247,0.0473577389,111.8252886407,250.0489470042,False,2023-08-19,2023-Aug-19 09:40,1692438000000,Earth,15.054331118,54195.5920247708,33675.0332778361,0.0331649865,12.9011797485,4961411.338978755,3082878.051086619,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/3617339?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,3617339,3617339,(2012 VJ38),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3617339,28.5,0.0053034072,0.0118587791,5.3034072332,11.8587790858,0.0032953835,0.0073687014,17.3996305869,38.9067567758,False,2023-08-19,2023-Aug-19 23:11,1692486660000,Earth,6.4191084851,23108.7905464549,14358.9037703792,0.4708466885,183.1593618265,70437661.696153495,43767933.431948431,True,http://api.nasa.gov/neo/rest/v1/neo/sentry/3617339?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/3738931?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,3738931,3738931,(2015 YO1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3738931,22.94,0.0686364759,0.1534758258,68.6364758671,153.4758257748,0.0426487156,0.0953654273,225.1852954837,503.529628235,False,2023-08-19,2023-Aug-19 18:04,1692468240000,Earth,15.7673757221,56762.552599407,35270.0427526704,0.2906736154,113.0720363906,43484153.729039198,27019800.2024410124,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/3802041?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,3802041,3802041,(2018 FE3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3802041,27.2,0.0096506147,0.0215794305,9.6506146958,21.5794304844,0.0059966121,0.0134088323,31.6621227185,70.7986587106,False,2023-08-19,2023-Aug-19 04:42,1692420120000,Earth,6.3249920706,22769.9714542173,14148.3747627608,0.2226988571,86.6298554119,33315274.673594377,20701151.7570093226,True,http://api.nasa.gov/neo/rest/v1/neo/sentry/3802041?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54105101?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,54105101,54105101,(2021 AB4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54105101,26.84,0.0113908197,0.0254706471,11.3908196722,25.4706471064,0.007077925,0.0158267215,37.3714568132,83.5651178526,False,2023-08-19,2023-Aug-19 21:35,1692480900000,Earth,5.4038501416,19453.8605096735,12087.8723816913,0.3892850302,151.4318767478,58236211.340805674,36186303.7459753412,True,http://api.nasa.gov/neo/rest/v1/neo/sentry/54105101?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54327909?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,54327909,54327909,(2022 WW2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54327909,25.57,0.0204434871,0.0457130269,20.4434871028,45.713026859,0.01270299,0.0284047492,67.0718102264,149.9771270402,False,2023-08-19,2023-Aug-19 19:58,1692475080000,Earth,11.4374975731,41174.9912632118,25584.5383212996,0.3455985586,134.4378392954,51700808.241630182,32125392.5671012316,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54342553?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,54342553,54342553,(2023 DC2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54342553,24.71,0.0303777061,0.0679266159,30.3777061387,67.9266159267,0.0188758256,0.0422076293,99.6643934081,222.8563585969,False,2023-08-19,2023-Aug-19 23:04,1692486240000,Earth,13.6521063343,49147.582803516,30538.396659218,0.2877352949,111.9290297161,43044587.240861863,26746666.2520771894,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54376463?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,54376463,54376463,(2023 OJ5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54376463,21.12,0.1586919792,0.3548460529,158.691979174,354.846052917,0.0986065938,0.2204910467,520.6429929532,1164.1931242522,False,2023-08-19,2023-Aug-19 12:21,1692447660000,Earth,9.2861461056,33430.1259802924,20772.1802236989,0.3176569959,123.5685714051,47520809.977238733,29528062.0854231954,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54377561?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,54377561,54377561,(2023 QQ1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54377561,24.35,0.0358554334,0.0801751865,35.8554334193,80.1751864882,0.0222795265,0.0498185358,117.6359401793,263.0419588381,False,2023-08-19,2023-Aug-19 10:34,1692441240000,Earth,5.5336453942,19921.1234189404,12378.2113821744,0.1605672193,62.4606483077,24020513.999102891,14925655.2872102558,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54377564?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,54377564,54377564,(2023 QS1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54377564,28.62,0.005018281,0.0112212175,5.0182810059,11.2212174594,0.0031182143,0.0069725391,16.4641770554,36.8150190894,False,2023-08-19,2023-Aug-19 18:22,1692469320000,Earth,15.7210481418,56595.7733104235,35166.4125883573,0.0007162234,0.2786109026,107145.495084158,66577.1234230604,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54377835?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,54377835,54377835,(2023 QE2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54377835,27.77,0.0074225815,0.0165973969,7.42258153,16.5973968696,0.0046121769,0.0103131411,24.3523023869,54.4534035458,False,2023-08-19,2023-Aug-19 09:18,1692436680000,Earth,12.3768380295,44556.6169061168,27685.7489881369,0.0027310728,1.0623873192,408562.673694936,253869.0733686768,True,http://api.nasa.gov/neo/rest/v1/neo/sentry/54377835?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54377846?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,54377846,54377846,(2023 QT2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54377846,24.72,0.0302381333,0.0676145215,30.2381332572,67.6145214758,0.0187890991,0.0420137028,99.2064771155,221.8324266386,False,2023-08-19,2023-Aug-19 11:44,1692445440000,Earth,20.4324598536,73556.8554731234,45705.3694466194,0.0520561133,20.2498280737,7787483.670158671,4838917.9690288198,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54377956?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,54377956,54377956,(2023 QP3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54377956,27.56,0.0081762653,0.0182826851,8.1762653336,18.282685088,0.0050804942,0.0113603303,26.825018357,59.982564544,False,2023-08-19,2023-Aug-19 09:10,1692436200000,Earth,10.8625611241,39105.2200468381,24298.4629785478,0.0105401585,4.1001216565,1576785.261062395,979768.928735251,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54377966?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,54377966,54377966,(2023 QZ3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54377966,24.84,0.0286124454,0.0639793729,28.6124453783,63.9793728683,0.0177789438,0.0397549269,93.8728552949,209.9060856814,False,2023-08-19,2023-Aug-19 17:31,1692466260000,Earth,7.1593321979,25773.5959125181,16014.7101935311,0.0448909325,17.4625727425,6715587.884313775,4172872.812629095,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54378347?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,54378347,54378347,(2023 QM5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54378347,26.91,0.0110294785,0.0246626636,11.0294784532,24.6626635778,0.0068533981,0.0153246639,36.1859540885,80.9142531725,False,2023-08-19,2023-Aug-19 15:43,1692459780000,Earth,4.2165999858,15179.7599488042,9432.1125081889,0.008732631,3.396993459,1306382.99709597,811748.753105586,False,
{'self': 'http://api.nasa.gov/neo/rest/v1/neo/54378882?api_key=XwVHPFh2zHGkoQZ3QmLtDqyncNjhdloY07lr9868'},2023-08-19,54378882,54378882,(2023 QM7),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54378882,22.75,0.0749126183,0.1675097069,74.912618313,167.5097069204,0.0465485286,0.1040856741,245.7763146661,549.5725468527,False,2023-08-19,2023-Aug-19 13:30,1692451800000,Earth,9.7332796845,35039.8068642894,21772.3733263136,0.0617943647,24.0380078683,9244305.337123189,5744144.9769464482,False,
